neurons,activation,batch_size,opt,hops,score1,score2
64,relu,8,Adam,30,0.7456140350877193,0.9561766735679779
64,relu,16,Adam,10,0.7456140350877193,0.9537354352296094
64,relu,16,Adam,20,0.793859649122807,0.9642365887207703
64,relu,16,Adam,30,0.7587719298245614,0.9654934437543133
64,relu,32,Adam,10,0.7456140350877193,0.9619602467443454
64,relu,32,Adam,20,0.793859649122807,0.9597661623108665
64,relu,32,Adam,30,0.7763157894736842,0.9637681159420289
64,relu,8,RMSprop,10,0.7894736842105263,0.9496230294722413
64,relu,8,RMSprop,20,0.7675438596491229,0.9559834938101788
64,relu,8,RMSprop,30,0.8377192982456141,0.966528640441684
64,relu,16,RMSprop,10,0.7982456140350878,0.9599040438656614
64,relu,16,RMSprop,20,0.7456140350877193,0.9625171939477304
64,relu,16,RMSprop,30,0.7675438596491229,0.9592822636300897
64,relu,32,RMSprop,10,0.8201754385964912,0.9605894448252228
64,relu,32,RMSprop,20,0.7675438596491229,0.9625171939477304
64,relu,32,RMSprop,30,0.8026315789473685,0.9568668046928916
64,relu,8,Adadelta,10,0.6008771929824561,0.9568197395476353
64,relu,8,Adadelta,20,0.9166666666666666,0.6351444291609354
64,relu,8,Adadelta,30,0.5745614035087719,0.9289164941338854
64,relu,16,Adadelta,10,0.32456140350877194,0.6716929403701165
64,relu,16,Adadelta,20,0.5570175438596491,0.3466299862448418
64,relu,16,Adadelta,30,0.07456140350877193,0.9082125603864735
64,relu,32,Adadelta,10,0.08771929824561403,0.5051405071967101
64,relu,32,Adadelta,20,0.34649122807017546,0.7379642365887208
64,relu,32,Adadelta,30,0.23684210526315788,0.44306418219461696
64,sigmoid,8,SGD,10,0.7807017543859649,0.9674434544208362
64,sigmoid,8,SGD,20,0.7982456140350878,0.9680192572214581
64,sigmoid,8,SGD,30,0.7807017543859649,0.9685990338164251
64,sigmoid,16,SGD,10,0.7807017543859649,0.969842357779301
64,sigmoid,16,SGD,20,0.7587719298245614,0.9683631361760661
64,sigmoid,16,SGD,30,0.7631578947368421,0.9685990338164251
64,sigmoid,32,SGD,10,0.7543859649122807,0.9688142563399589
64,sigmoid,32,SGD,20,0.7719298245614035,0.969050894085282
64,sigmoid,32,SGD,30,0.7719298245614035,0.9692891649413389
64,sigmoid,8,Adam,10,0.8201754385964912,0.9701850582590815
64,sigmoid,8,Adam,20,0.8201754385964912,0.9638927097661623
64,sigmoid,8,Adam,30,0.8114035087719298,0.9696342305037957
64,sigmoid,16,Adam,10,0.8026315789473685,0.9633310486634681
64,sigmoid,16,Adam,20,0.8114035087719298,0.9662998624484181
64,sigmoid,16,Adam,30,0.8245614035087719,0.9672187715665976
64,sigmoid,32,Adam,10,0.8289473684210527,0.9674434544208362
64,sigmoid,32,Adam,20,0.8245614035087719,0.9659559834938102
64,sigmoid,32,Adam,30,0.8245614035087719,0.9679089026915114
64,sigmoid,8,RMSprop,10,0.8245614035087719,0.9629883481836875
64,sigmoid,8,RMSprop,20,0.8245614035087719,0.9587345254470426
64,sigmoid,8,RMSprop,30,0.8157894736842105,0.9637681159420289
64,sigmoid,16,RMSprop,10,0.8377192982456141,0.9647018505825908
64,sigmoid,16,RMSprop,20,0.8377192982456141,0.9656121045392022
64,sigmoid,16,RMSprop,30,0.8464912280701754,0.9668737060041408
64,sigmoid,32,RMSprop,10,0.8377192982456141,0.9647018505825908
64,sigmoid,32,RMSprop,20,0.8333333333333334,0.9638927097661623
64,sigmoid,32,RMSprop,30,0.8201754385964912,0.9644582470669427
64,sigmoid,8,Adadelta,10,1.0,0.07813570938999315
64,sigmoid,8,Adadelta,20,0.0,0.921595598349381
64,sigmoid,8,Adadelta,30,0.0,0.9213250517598344
64,sigmoid,16,Adadelta,10,0.0,0.9218642906100069
64,sigmoid,16,Adadelta,20,0.0,0.921595598349381
64,sigmoid,16,Adadelta,30,0.0,0.9213250517598344
64,sigmoid,32,Adadelta,10,0.0,0.9218642906100069
64,sigmoid,32,Adadelta,20,1.0,0.07840440165061899
64,sigmoid,32,Adadelta,30,0.0,0.9213250517598344
64,tanh,8,SGD,10,0.7807017543859649,0.9671007539410555
64,tanh,8,SGD,20,0.7763157894736842,0.968707015130674
64,tanh,8,SGD,30,0.7675438596491229,0.9630779848171153
64,tanh,16,SGD,10,0.7280701754385965,0.9647018505825908
64,tanh,16,SGD,20,0.7807017543859649,0.9669876203576341
64,tanh,16,SGD,30,0.8114035087719298,0.9634230503795721
64,tanh,32,SGD,10,0.7631578947368421,0.9671007539410555
64,tanh,32,SGD,20,0.7675438596491229,0.9666437414030261
64,tanh,32,SGD,30,0.7543859649122807,0.9651483781918565
64,tanh,8,Adam,10,0.7412280701754386,0.9612748457847841
64,tanh,8,Adam,20,0.7587719298245614,0.9662998624484181
64,tanh,8,Adam,30,0.8070175438596491,0.9672187715665976
64,tanh,16,Adam,10,0.7719298245614035,0.9626456477039068
64,tanh,16,Adam,20,0.75,0.9611416781292985
64,tanh,16,Adam,30,0.8114035087719298,0.9651483781918565
64,tanh,32,Adam,10,0.7719298245614035,0.9650445510623715
64,tanh,32,Adam,20,0.7456140350877193,0.9632049518569463
64,tanh,32,Adam,30,0.7982456140350878,0.9682539682539683
64,tanh,8,RMSprop,10,0.7412280701754386,0.9533927347498287
64,tanh,8,RMSprop,20,0.793859649122807,0.9645804676753783
64,tanh,8,RMSprop,30,0.7807017543859649,0.966183574879227
64,tanh,16,RMSprop,10,0.7719298245614035,0.9660726525017135
64,tanh,16,RMSprop,20,0.7763157894736842,0.9638927097661623
64,tanh,16,RMSprop,30,0.7587719298245614,0.9561766735679779
64,tanh,32,RMSprop,10,0.7763157894736842,0.9657299520219328
64,tanh,32,RMSprop,20,0.8026315789473685,0.9642365887207703
64,tanh,32,RMSprop,30,0.6754385964912281,0.9510006901311249
64,tanh,8,Adadelta,10,0.6491228070175439,0.9588759424263193
64,tanh,8,Adadelta,20,0.618421052631579,0.9570151306740028
64,tanh,8,Adadelta,30,0.5350877192982456,0.9082125603864735
64,tanh,16,Adadelta,10,0.2631578947368421,0.6041809458533242
64,tanh,16,Adadelta,20,0.5877192982456141,0.9556396148555708
64,tanh,16,Adadelta,30,0.5964912280701754,0.9530710835058661
64,tanh,32,Adadelta,10,0.5789473684210527,0.955106237148732
64,tanh,32,Adadelta,20,0.5526315789473685,0.9508253094910591
64,tanh,32,Adadelta,30,0.2412280701754386,0.7605244996549344
